"Age","YearsExp","DrivingExp","VRU_Group","RT"
19,3,"Low","High-PowerVRU",957.84
25,9,"Medium","High-PowerVRU",1018.69
28,10,"Medium","High-PowerVRU",986.53
26,8,"Medium","High-PowerVRU",882.46
19,1,"Low","High-PowerVRU",949.57
17,1,"Low","High-PowerVRU",966.05
18,1,"Low","High-PowerVRU",861.09
27,8,"Medium","High-PowerVRU",995.48
27,13,"High","High-PowerVRU",904.03
23,9,"Medium","High-PowerVRU",942.11
31,13,"High","High-PowerVRU",1005.1
31,14,"High","High-PowerVRU",1027.08
33,18,"High","High-PowerVRU",931.09
20,2,"Low","High-PowerVRU",925.07
18,3,"Low","High-PowerVRU",922.94
19,2,"Low","High-PowerVRU",977.1
18,1,"Low","High-PowerVRU",877.12
22,6,"Low","High-PowerVRU",955.85
29,11,"Medium","High-PowerVRU",942.96
38,18,"High","High-PowerVRU",952.22
31,10,"Medium","High-PowerVRU",910.3
19,2,"Low","High-PowerVRU",979.88
25,8,"Medium","High-PowerVRU",900.38
32,15,"High","High-PowerVRU",987
23,7,"Medium","High-PowerVRU",920.64
18,2,"Low","High-PowerVRU",943.32
21,6,"Low","High-PowerVRU",970.38
21,4,"Low","High-PowerVRU",961.62
34,16,"High","High-PowerVRU",885.88
20,3,"Low","High-PowerVRU",976.17
27,12,"Medium","High-PowerVRU",959.54
17,1,"Low","High-PowerVRU",930.57
35,18,"High","High-PowerVRU",920.13
19,2,"Low","High-PowerVRU",972.05
20,2,"Low","High-PowerVRU",918.38
27,12,"Medium","High-PowerVRU",904.31
31,13,"High","High-PowerVRU",845.88
18,1,"Low","High-PowerVRU",927.18
31,14,"High","High-PowerVRU",931.34
24,8,"Medium","High-PowerVRU",936.86
33,15,"High","Low-PowerVRU",934.78
18,2,"Low","Low-PowerVRU",959.78
22,5,"Low","Low-PowerVRU",930.26
37,17,"High","Low-PowerVRU",1030.45
24,9,"Medium","Low-PowerVRU",939.69
34,14,"High","Low-PowerVRU",949.71
21,4,"Low","Low-PowerVRU",899.59
37,17,"High","Low-PowerVRU",957.75
22,7,"Medium","Low-PowerVRU",1048.87
18,3,"Low","Low-PowerVRU",994.98
29,11,"Medium","Low-PowerVRU",943.73
27,7,"Medium","Low-PowerVRU",913.93
22,3,"Low","Low-PowerVRU",1009.92
28,12,"Medium","Low-PowerVRU",1011.82
31,15,"High","Low-PowerVRU",922.6
35,18,"High","Low-PowerVRU",932.01
34,13,"High","Low-PowerVRU",925.06
20,3,"Low","Low-PowerVRU",932.57
27,12,"Medium","Low-PowerVRU",922.28
29,10,"Medium","Low-PowerVRU",1027.4
20,1,"Low","Low-PowerVRU",867.59
29,10,"Medium","Low-PowerVRU",921.99
24,5,"Low","Low-PowerVRU",991.81
31,15,"High","Low-PowerVRU",844.64
23,6,"Low","Low-PowerVRU",964.46
30,14,"High","Low-PowerVRU",887.64
34,16,"High","Low-PowerVRU",985.37
19,2,"Low","Low-PowerVRU",866.7
17,1,"Low","Low-PowerVRU",876.69
28,10,"Medium","Low-PowerVRU",964.52
31,14,"High","Low-PowerVRU",996.51
34,15,"High","Low-PowerVRU",961.24
23,6,"Low","Low-PowerVRU",882.8
35,18,"High","Low-PowerVRU",982.26
23,7,"Medium","Low-PowerVRU",854.84
19,3,"Low","Low-PowerVRU",994.65
21,3,"Low","Low-PowerVRU",985.46
31,13,"High","Low-PowerVRU",942.2
35,16,"High","Low-PowerVRU",1059.6
28,10,"Medium","Low-PowerVRU",942.31
27,13,"High","Pedestrian",1059.07
34,18,"High","Pedestrian",1044.3
31,17,"High","Pedestrian",1027.4
22,6,"Low","Pedestrian",1039
29,15,"High","Pedestrian",1085.55
26,9,"Medium","Pedestrian",1073.89
22,5,"Low","Pedestrian",978.13
33,17,"High","Pedestrian",1002.62
19,2,"Low","Pedestrian",929.48
20,4,"Low","Pedestrian",1125.73
29,10,"Medium","Pedestrian",998.03
36,18,"High","Pedestrian",1058.02
37,17,"High","Pedestrian",1000.81
30,13,"High","Pedestrian",1036.3
24,6,"Low","Pedestrian",998.01
34,16,"High","Pedestrian",924.1
34,17,"High","Pedestrian",1044.81
26,10,"Medium","Pedestrian",979.44
24,6,"Low","Pedestrian",1085.33
26,8,"Medium","Pedestrian",1001.71
22,6,"Low","Pedestrian",1015.71
20,5,"Low","Pedestrian",1056.17
32,12,"Medium","Pedestrian",983.89
22,5,"Low","Pedestrian",1105.92
33,14,"High","Pedestrian",1014.11
26,12,"Medium","Pedestrian",1019.97
31,12,"Medium","Pedestrian",991.92
34,18,"High","Pedestrian",1049.54
20,2,"Low","Pedestrian",982.81
23,6,"Low","Pedestrian",1035.42
21,9,"Medium","Pedestrian",1033.8
17,4,"Low","Pedestrian",963.88
24,6,"Low","Pedestrian",986.09
27,9,"Medium","Pedestrian",1114.31
19,4,"Low","Pedestrian",1006.92
17,1,"Low","Pedestrian",942.7
24,7,"Medium","Pedestrian",1004.45
30,10,"Medium","Pedestrian",915.75
36,17,"High","Pedestrian",1005.57
25,5,"Low","Pedestrian",978.04
